Country,Lat,Long,Iso A3,Confirmed,Death,Recovered,Active
Afghanistan,33.93911,67.709953,AFG,169940,7478,82586,79876
Albania,41.1533,20.1683,ALB,267020,3402,130314,133304
Algeria,28.0339,1.6596,DZA,260723,6703,118409,135611
Andorra,42.5063,1.5218,AND,37140,148,14380,22612
Angola,-11.2027,17.8739,AGO,98501,1898,39582,57021
Antarctica,-71.9499,23.347,ATA,11,0,0,11
Antigua and Barbuda,17.0608,-61.7964,ATG,7331,134,1239,5958
Argentina,-38.4161,-63.6167,ARG,8716940,123859,4615834,3977247
Armenia,40.0691,45.0382,ARM,402403,8145,220438,173820
Australia,-35.4735,149.0124,AUS,2876687,4543,24203,2847941
Austria,47.5162,14.5501,AUT,2217585,14337,644388,1558860
Azerbaijan,40.1431,47.5769,AZE,732380,8998,333694,389688
Bahamas,25.025885,-78.035889,BHS,32903,757,12702,19444
Bahrain,26.0275,50.55,BHR,453916,1421,267220,185275
Bangladesh,23.685,90.3563,BGD,1899803,28771,1141157,729875
Barbados,13.1939,-59.5432,BRB,50880,291,4251,46338
Belarus,53.7098,27.9534,BLR,814262,6221,443417,364624
Belgium,50.8333,4.469936,BEL,3421081,29624,0,3391457
Belize,17.1899,-88.4976,BLZ,55183,631,13543,41009
Benin,9.3077,2.3158,BEN,26552,163,8136,18253
Bhutan,27.5142,90.4336,BTN,6964,5,2418,4541
Bolivia,-16.2902,-63.5887,BOL,880891,21240,411830,447821
Bosnia and Herzegovina,43.9159,17.6791,BIH,362527,14984,189710,157833
Botswana,-22.3285,24.6849,BWA,259655,2597,96964,160094
Brazil,-14.235,-51.9253,BRA,27299336,637467,17771228,8890641
Brunei,4.5353,114.7277,BRN,20454,98,280,20076
Bulgaria,42.7339,25.4858,BGR,1031660,34314,398721,598625
Burkina Faso,12.2383,-1.5616,BFA,20699,375,13385,6939
Burma,21.9162,95.956,MMR,543511,19310,225849,298352
Burundi,-3.3731,29.9189,BDI,37856,38,773,37045
Cabo Verde,16.5388,-23.0418,CPV,55833,398,33173,22262
Cambodia,11.55,104.9167,KHM,122742,3015,72803,46924
Cameroon,3.848,11.5021,CMR,118675,1915,35261,81499
Canada,56.1304,-106.3468,CAN,3177786,35371,1405971,1736444
Central African Republic,6.6111,20.9394,CAF,14154,111,6859,7184
Chad,15.4542,18.7322,TCD,7216,190,4796,2230
Chile,-35.6751,-71.543,CHL,2545819,40370,1575377,930072
China,31.8257,117.2264,CHN,122977,4835,99200,18942
Colombia,4.5709,-74.2973,COL,6007991,136764,4615354,1255873
Comoros,-11.6455,43.3333,COM,7998,160,3873,3965
Congo (Brazzaville),-0.228,15.8277,COG,23860,375,12421,11064
Congo (Kinshasa),-4.0383,21.7587,COD,85776,1316,30043,54417
Costa Rica,9.7489,-83.7534,CRI,757093,7772,334759,414562
Cote d'Ivoire,7.54,-5.5471,CIV,81109,789,49642,30678
Croatia,45.1,15.2,HRV,1009973,14373,354830,640770
Cuba,21.521757,-77.781167,CUB,1058946,8460,373354,677132
Cyprus,35.1264,33.4299,CYP,285943,780,39061,246102
Czechia,49.8175,15.473,CZE,3363053,37712,1641321,1684020
Denmark,61.8926,-6.9118,FRO,27701,22,963,26716
Denmark,71.7069,-42.6043,GRL,11409,7,87,11315
Denmark,56.2639,9.5018,DNK,2244726,4001,306324,1934401
Djibouti,11.8251,42.5903,DJI,15530,189,11491,3850
Dominica,15.415,-61.371,DMA,10311,53,209,10049
Dominican Republic,18.7357,-70.1627,DOM,567895,4341,324861,238693
Ecuador,-1.8312,-78.1834,ECU,781470,34854,443880,302736
Egypt,26.820553,30.802498,EGY,450676,23233,232179,195264
El Salvador,13.7942,-88.8965,SLV,135109,3982,76670,54457
Equatorial Guinea,1.6508,10.2679,GNQ,15853,182,8709,6962
Eritrea,15.1794,39.7823,ERI,9662,102,6475,3085
Estonia,58.5953,25.0136,EST,410210,2100,129183,278927
Eswatini,-26.5225,31.4659,SWZ,68762,1382,22127,45253
Ethiopia,9.145,40.4897,ETH,467288,7417,264008,195863
Fiji,-17.7134,178.065,FJI,63476,819,10848,51809
Finland,61.92411,25.748151,FIN,569973,2170,46000,521803
France,3.9339,-53.1258,GUF,76893,383,9995,66515
France,-17.6797,149.4068,PYF,53853,637,19599,33617
France,16.265,-61.551,GLP,112668,873,2250,109545
France,14.6415,-61.0242,MTQ,102746,856,104,101786
France,-12.8275,45.166244,MYT,36572,187,2964,33421
France,-20.904305,165.618042,NCL,35043,284,58,34701
France,-21.1151,55.5364,REU,256787,565,35563,220659
France,17.9,-62.8333,BLM,3687,6,462,3219
France,46.8852,-56.3159,SPM,1020,1,26,993
France,18.0708,-63.0501,MAF,9774,63,1399,8312
France,-14.2938,-178.1165,FRA,454,7,438,9
France,46.2276,2.2137,FRA,20957064,131672,342253,20483139
Gabon,-0.8037,11.6094,GAB,47399,302,25228,21869
Gambia,13.4432,-15.3101,GMB,11911,365,7310,4236
Georgia,42.3154,43.3569,GEO,1418027,15459,390827,1011741
Germany,51.165691,10.451526,DEU,12274653,119881,3659260,8495512
Ghana,7.9465,-1.0232,GHA,157751,1419,98633,57699
Greece,39.0742,21.8243,GRC,2146798,24609,93764,2028425
Grenada,12.1165,-61.679,GRD,13172,213,161,12798
Guatemala,15.7835,-90.2308,GTM,729977,16611,331374,381992
Guinea,9.9456,-9.6966,GIN,36329,436,24463,11430
Guinea-Bissau,11.8037,-15.1804,GNB,7820,158,4027,3635
Guyana,4.860416,-58.93018,GUY,62156,1190,22327,38639
Haiti,18.9712,-72.2852,HTI,29939,807,12961,16171
Holy See,41.9029,12.4534,VAT,29,0,27,2
Honduras,15.2,-86.2419,HND,391874,10512,102384,278978
Hungary,47.1625,19.5033,HUN,1695991,42360,749773,903858
Iceland,64.9631,-19.0208,ISL,85980,54,6993,78933
India,20.593684,78.96288,IND,42586544,507981,30974748,11103815
Indonesia,-0.7893,113.9213,IDN,4708043,144958,2907920,1655165
Iran,32.427908,53.688046,IRN,6761855,133437,3444798,3183620
Iraq,33.223191,43.679291,IRQ,2271521,24655,1494760,752106
Ireland,53.1424,-7.6921,IRL,1242806,6291,23364,1213151
Israel,31.046051,34.851612,ISR,3374697,9434,854888,2510375
Italy,41.87194,12.56738,ITA,11991109,150555,4144608,7695946
Jamaica,18.1096,-77.2975,JAM,126732,2720,47101,76911
Japan,36.204824,138.252924,JPN,3774162,20089,852451,2901622
Jordan,31.24,36.51,JOR,1436762,13456,752624,670682
Kazakhstan,48.0196,66.9237,KAZ,1375330,18736,555079,801515
Kenya,-0.0236,37.9062,KEN,322388,5626,191188,125574
Kiribati,-3.3704,-168.734,KIR,2316,3,0,2313
"Korea, North",0,0,PRK,0,0,0,0
"Korea, South",35.907757,127.766922,KOR,1294204,7045,180719,1106440
Kosovo,42.602636,20.902977,RKS,221696,3064,105688,112944
Kuwait,29.31166,47.481766,KWT,596785,2518,388880,205387
Kyrgyzstan,41.20438,74.766098,KGZ,199890,2920,150852,46118
Laos,19.85627,102.495496,LAO,138431,588,3804,134039
Latvia,56.8796,24.6032,LVA,500126,5007,135690,359429
Lebanon,33.8547,35.8623,LBN,1006109,9807,537653,458649
Lesotho,-29.61,28.2336,LSO,32372,696,6664,25012
Liberia,6.428055,-9.429499,LBR,7358,290,2715,4353
Libya,26.3351,17.228331,LBY,466666,6113,195639,264914
Liechtenstein,47.14,9.55,LIE,10411,74,3011,7326
Lithuania,55.1694,23.8813,LTU,797492,8062,269840,519590
Luxembourg,49.8153,6.1296,LUX,173419,969,72306,100144
Madagascar,-18.766947,46.869107,MDG,61434,1307,41177,18950
Malawi,-13.2543,34.3015,MWI,84974,2591,39841,42542
Malaysia,4.210484,101.975766,MYS,2996361,32099,962731,2001531
Maldives,3.2028,73.2207,MDV,156903,287,75095,81521
Mali,17.570692,-3.996166,MLI,30257,716,13962,15579
Malta,35.9375,14.3754,MLT,69794,579,32438,36777
Marshall Islands,7.1315,171.1845,MHL,7,0,4,3
Mauritania,21.0079,-10.9408,MRT,58557,971,22859,34727
Mauritius,-20.348404,57.552152,MUS,70862,786,1854,68222
Mexico,23.6345,-102.5528,MEX,5226269,311554,2270427,2644288
Moldova,47.4116,28.3699,MDA,480289,10893,252421,216975
Monaco,43.7333,7.4167,MCO,8988,49,2759,6180
Mongolia,46.8625,103.8467,MNG,875440,2144,158685,714611
Montenegro,42.708678,19.37439,MNE,225740,2632,99152,123956
Morocco,31.7917,-7.0926,MAR,1153562,15747,582692,555123
Mozambique,-18.6657,35.5296,MOZ,224603,2188,100912,121503
Namibia,-22.9576,18.4904,NAM,156604,3991,96568,56045
Nepal,28.1667,84.25,NPL,972141,11878,661651,298612
Netherlands,12.5211,-69.9683,ABW,33455,196,11259,22000
Netherlands,12.1784,-68.2385,BES,7367,31,1673,5663
Netherlands,12.1696,-68.99,CUW,38267,253,13157,24857
Netherlands,18.0425,-63.0548,SXM,9475,83,2682,6710
Netherlands,52.1326,5.2913,NLD,5603964,21377,0,5582587
New Zealand,-21.2367,-159.7777,COK,2,0,0,2
New Zealand,-40.9006,174.886,NZL,19777,53,2824,16900
Nicaragua,12.865416,-85.207229,NIC,17791,222,4225,13344
Niger,17.607789,8.081666,NER,8707,303,5351,3053
Nigeria,9.082,8.6753,NGA,253923,3139,165208,85576
North Macedonia,41.6086,21.7453,MKD,284875,8705,150440,125730
Norway,60.472,8.4689,NOR,1009926,1513,17998,990415
Oman,21.512583,55.923255,OMN,360999,4195,281724,75080
Pakistan,30.3753,69.3451,PAK,1480592,29731,952616,498245
Palau,7.515,134.5825,PLW,3119,1,0,3118
Panama,8.538,-80.7821,PAN,739770,7926,420113,311731
Papua New Guinea,-6.314993,143.95555,PNG,38222,610,17384,20228
Paraguay,-23.4425,-58.4438,PRY,620708,17844,423964,178900
Peru,-9.19,-75.0152,PER,3424894,207965,2086086,1130843
Philippines,12.879721,121.774017,PHL,3630637,54854,1528422,2047361
Poland,51.9194,19.1451,POL,5328492,107757,2653981,2566754
Portugal,39.3999,-8.2245,PRT,3049692,20442,912620,2116630
Puerto Rico,0,0,PRI,0,0,0,0
Qatar,25.3548,51.1839,QAT,349581,656,224285,124640
Romania,45.9432,24.9668,ROU,2531597,61363,1048072,1422162
Russia,61.52401,105.318756,RUS,13526183,332010,5609682,7584491
Rwanda,-1.9403,29.8739,RWA,129278,1449,44911,82918
Saint Kitts and Nevis,17.357822,-62.782998,KNA,5497,39,549,4909
Saint Lucia,13.9094,-60.9789,LCA,21932,347,5398,16187
Saint Vincent and the Grenadines,12.9843,-61.2872,VCT,8144,101,2233,5810
Samoa,-13.759,-172.1046,WSM,33,0,3,30
San Marino,43.9424,12.4578,SMR,13861,110,5009,8742
Sao Tome and Principe,0.1864,6.6131,STP,5919,71,2365,3483
Saudi Arabia,23.885942,45.079162,SAU,724525,8969,507374,208182
Senegal,14.4974,-14.4524,SEN,85346,1956,48812,34578
Serbia,44.0165,21.0059,SRB,1826787,14299,0,1812488
Seychelles,-4.6796,55.492,SYC,38395,157,17874,20364
Sierra Leone,8.460555,-11.779889,SLE,7648,125,4287,3236
Singapore,1.2833,103.8333,SGP,449570,885,63357,385328
Slovakia,48.669,19.699,SVK,1818532,18064,255300,1545168
Slovenia,46.1512,14.9955,SVN,836088,6059,253972,576057
Solomon Islands,-9.6457,160.1562,SLB,4302,53,20,4229
Somalia,5.152149,46.199616,SOM,26203,1340,7661,17202
Somaliland,0,0,-99,0,0,0,0
South Africa,-30.5595,22.9375,ZAF,3637673,96851,2258603,1282219
South Sudan,6.877,31.307,SSD,16880,137,10514,6229
Spain,40.463667,-3.74922,ESP,10604200,95995,150376,10357829
Sri Lanka,7.873054,80.771797,LKA,625804,15754,284524,325526
Sudan,12.8628,30.2176,SDN,59525,3764,30647,25114
Suriname,3.9193,-56.0278,SUR,76876,1298,21978,53600
Sweden,60.128161,18.643501,SWE,2397330,16501,0,2380829
Switzerland,46.8182,8.2275,CHE,2537734,12932,317600,2207202
Syria,34.8021,38.9968,SYR,52504,3023,22019,27462
Taiwan*,23.7,121,TWN,19454,851,12957,5646
Tajikistan,38.861,71.2761,TJK,17765,125,14867,2773
Tanzania,-6.369028,34.888822,TZA,33436,792,183,32461
Turkmenistan,0,0,TKM,0,0,0,0
Thailand,15.870032,100.992541,THA,2577441,22412,26871,2528158
Timor-Leste,-8.8742,125.7275,TLS,21401,123,10025,11253
Togo,8.6195,0.8248,TGO,36630,270,14654,21706
Tonga,-21.179,-175.1982,TON,73,0,0,73
Trinidad and Tobago,10.6918,-61.2225,TTO,119226,3507,32454,83265
Tunisia,33.886917,9.537499,TUN,961877,27004,530545,404328
Turkey,38.9637,35.2433,TUR,12748341,89994,5478185,7180162
US,40,-100,USA,77652196,918451,163048,76733745
Uganda,1.373333,32.290275,UGA,162639,3575,86826,72238
Ukraine,48.3794,31.1656,UKR,4668581,109206,2258433,2300942
United Arab Emirates,23.424076,53.847818,ARE,865576,2283,664130,199163
United Kingdom,18.2206,-63.0686,AIA,2458,9,111,2338
United Kingdom,32.3078,-64.7505,BMU,11146,120,2503,8523
United Kingdom,18.4207,-64.64,VGB,5928,61,1914,3953
United Kingdom,19.3133,-81.2546,CYM,17687,16,635,17036
United Kingdom,-51.7963,-59.5236,FLK,98,0,63,35
United Kingdom,36.1408,-5.3536,GIB,14284,101,4670,9513
United Kingdom,54.2361,-4.5481,IMN,22091,77,4019,17995
United Kingdom,16.742498,-62.187366,MSR,163,2,19,142
United Kingdom,-7.9467,-14.3559,GBR,4,0,4,0
United Kingdom,21.694,-71.7979,TCA,5813,35,2433,3345
United Kingdom,55.3781,-3.436,GBR,18220515,159351,374203,18061164
Uruguay,-32.5228,-55.7658,URY,765960,6729,374203,385028
Uzbekistan,41.377491,64.585262,UZB,232496,1597,126377,104522
Vanuatu,-15.3767,166.9592,VUT,7,1,3,3
Venezuela,6.4238,-66.5897,VEN,501586,5521,294607,201458
Vietnam,14.058324,108.277199,VNM,2457170,38784,54332,2364054
West Bank and Gaza,31.9522,35.2332,PSE,600128,5215,312320,282593
W. Sahara,0,0,ESH,0,0,0,0
Yemen,15.552727,48.516388,YEM,11659,2100,4251,5308
Zambia,-13.133897,27.849332,ZMB,309013,3936,189658,115419
Zimbabwe,-19.015438,29.154857,ZWE,231214,5374,82994,142846